make,model,year,wt,doors,protection,size,dp,hic,chest.decel,l.leg,r.leg
Acura,Integra,87,2350,2,manual belts,lt,Driver,599,35,791,262
Acura,Legend LS,88,3280,4,d airbag,med,Driver,435,50,926,708
Audi,80,89,2790,4,manual belts,comp,Driver,600,49,168,1871
Audi,100,89,3100,4,d airbag,med,Driver,185,35,998,894
BMW,325i,90,2862,2,d airbag,comp,Driver,1036,56,865,
Buick,Century,91,2992,4,passive belts,comp,Driver,815,47,1340,315
Buick,Elect. Park Ave,88,3360,4,manual belts,med,Driver,1467,54,712,1366
Buick,Regal,88,3210,2,passive belts,med,Driver,880,50,996,642
Cadillac,De Ville,90,3500,4,d airbag,hev,Driver,423,39,541,1629
Chevrolet,Astro,89,4002,-,manual belts,van,Driver,1849,64,2737,1043
Chevrolet,Beretta,91,2671,2,d airbag,comp,Driver,343,37,659,523
Chevrolet,Beretta GT,88,2890,2,passive belts,comp,Driver,864,50,1692,1052
Chevrolet,Camaro,91,3191,2,d airbag,med,Driver,585,39,717,150
Chevrolet,Cavalier,90,2540,4,passive belts,comp,Driver,770,49,775,531
Chevrolet,Corsica,88,2750,4,manual belts,comp,Driver,772,44,1293,737
Chevrolet,Corsica,91,2830,4,d airbag,comp,Driver,493,41,1171,550
Chevrolet,C-1500,88,3680,-,manual belts,pu,Driver,892,47,942,622
Chevrolet,G-20 Beauville,87,4887,-,manual belts,van,Driver,1387,67,1298,
Chevrolet,Lumina,90,3155,4,passive belts,med,Driver,1200,58,782,
Chevrolet,Suburban,87,5619,4,manual belts,mpv,Driver,1477,50,1911,257
Chevrolet,S-10 Blazer 4X4,89,3518,2,manual belts,mpv,Driver,834,62,,
Chevrolet,S-10 Blazer 4X4,90,3720,2,manual belts,mpv,Driver,772,74,1539,985
Chevrolet,S-10 Blazer 4X4,91,3820,4,manual belts,mpv,Driver,1026,71,2626,593
Chevrolet,S-10 Pickup,87,2592,-,manual belts,pu,Driver,985,58,1441,1108
Chevrolet,S-10 Pickup 4x4,90,3360,-,manual belts,pu,Driver,1074,66,2234,643
Chrysler,Fifth Ave,89,3820,4,d airbag,hev,Driver,786,43,1132,667
Chrysler,Imperial,90,3540,4,d airbag,hev,Driver,517,43,767,979
Chrysler,Le Baron,87,2870,2,passive belts,comp,Driver,791,62,1008,1776
Chrysler,Le Baron,90,3000,2,d airbag,med,Driver,298,40,332,611
Chrysler,New Yorker,88,3190,4,manual belts,med,Driver,1362,55,730,1102
Chrysler,New Yorker,91,3310,4,d airbag,med,Driver,511,55,710,959
Daihatsu,Charade,88,1820,2,manual belts,mini,Driver,768,43,574,598
Dodge,colt,88,2348,4,manual belts,lt,Driver,1354,53,844,461
Dodge,Dakota,87,3010,-,manual belts,pu,Driver,985,44,324,442
Dodge,Dakota 4x4,90,3740,-,manual belts,pu,Driver,1169,57,575,502
Dodge,Daytona,89,2790,2,d airbag,comp,Driver,399,39,729,908
Dodge,Shadow,87,2550,2,manual belts,comp,Driver,1488,49,1003,529
Dodge,Shadow,91,2730,4,d airbag,comp,Driver,503,42,1234,647
Dodge,Spirit,89,2840,4,manual belts,comp,Driver,1421,47,672,772
Eagle,Medallion,89,2740,4,Motorized belts,comp,Driver,745,41,1721,1574
Eagle,Premier,89,3060,4,manual belts,med,Driver,877,46,742,765
Ford,Aerostar,87,3013,-,manual belts,van,Driver,1568,49,286,590
Ford,Bronco II 4x4,89,3485,2,manual belts,mpv,Driver,994,58,267,428
Ford,Club Wagon,90,5103,-,manual belts,van,Driver,2613,59,1526,688
Ford,Escort,91,2336,2,Motorized belts,lt,Driver,434,42,1403,2152
Ford,Explorer 4x4,91,4212,4,manual belts,mpv,Driver,903,52,486,617
Ford,F-150,88,3757,-,manual belts,pu,Driver,1074,56,1024,644
Ford,Festiva,88,1760,2,manual belts,mini,Driver,1014,52,976,747
Ford,Mustang LX,87,2868,2,manual belts,comp,Driver,479,42,580,921
Ford,Mustang,90,3445,2,d airbag,med,Driver,651,42,1353,1063
Ford,Probe,89,2650,2,manual belts,comp,Driver,970,46,691,579
Ford,Probe,91,2810,2,Motorized belts,comp,Driver,550,42,1051,1501
Ford,Ranger,87,2668,-,manual belts,pu,Driver,977,52,739,344
Ford,Ranger 4x4,90,3533,-,manual belts,pu,Driver,1270,61,572,392
Ford,Taurus,90,3080,4,d airbag,med,Driver,735,46,1219,581
Ford,Taurus,91,3290,4,d airbag,med,Driver,480,44,1901,328
Ford,T-Bird,89,3630,2,Motorized belts,hev,Driver,541,44,1224,1264
Geo,Metro,89,1590,2,manual belts,mini,Driver,951,,789,458
